V_UID,Vendor,Tracer_Family,Tracer_Model,Tracer_Cat_No,Voltage,Zone,Gas_Group,T_Rating,A_Coeff,B_Coeff,C_Coeff,Maint_T,Max_Op_T,Min_Installation_T,Max_Exp_T_On,Max_Exp_T_Off,Power_at_Startup_T,Ohm_per_km,Res_corrFactor_Mica
Thermon^HTSX20-2,Thermon,Self Regulating,HTSX,HTSX 20-2,240.0,"Zone1, Zone2",NA,"T1,T2",0,-0.1161,38.93,150.0,150.0,-60.0,204.0,250.0,100.00,0.00,0.00
nVent^QTV^QTV-2-15,nVent,Self Regulating,QTV,QTV-2-15,240.0,"Zone1, Zone2",IIC,T5,-0.00025,-0.14,15.0,150.0,150.0,-40.0,204.0,260.0,15.00,0.00,0.00
nVent^QTV^QTV-2-30,nVent,Self Regulating,QTV,QTV-2-30,240.0,"Zone1, Zone2",IIC,T4,-0.00025,-0.14,30.0,150.0,150.0,-40.0,204.0,260.0,30.00,0.00,0.00
nVent^QTV^QTV-2-50,nVent,Self Regulating,QTV,QTV-2-50,240.0,"Zone1, Zone2",IIC,T4,-0.00025,-0.14,50.0,150.0,150.0,-40.0,204.0,260.0,50.00,0.00,0.00
Chromalox^SRL^SRL-3-1CT,Chromalox,Self Regulating,SRL,SRL-3-1CT,240.0,"Zone1, Zone2","Class I Div.2, Gr. A, B, C, D",T1,0,-0.0489,3.096,120.0,120.0,-50.0,140.0,150.0,15.00,0.00,0.00
Chromalox^SRL^SRL-5-1CT,Chromalox,Self Regulating,SRL,SRL-5-1CT,240.0,"Zone1, Zone2","Class I Div.2, Gr. A, B, C, D",T1,0,-0.0813,5.160,120.0,120.0,-50.0,140.0,150.0,25.00,0.00,0.00
SST^BTX^BTX-80,SST,Self Regulating,BTX,BTX-80,230.0,"Zone1, Zone2",NA,NA,0,-0.2267,65.71,120.0,120.0,120.0,200.0,200.0,80.00,0.00,0.00
SST^BTX^BTX-95,SST,Self Regulating,BTX,BTX-95,230.0,"Zone1, Zone2",NA,NA,0,-0.2697,78.24,120.0,120.0,120.0,200.0,200.0,95.00,0.00,0.00
Eltherm^ELSR-H^ELSR-H-10,Eltherm,Self Regulating,ELSR-H,ELSR-H-10,230.0,"Zone1, Zone2",IIC,T4,-0.00030,-0.14,10.0,150.0,150.0,-40.0,210.0,260.0,10.00,0.00,0.00
Eltherm^ELSR-H^ELSR-H-20,Eltherm,Self Regulating,ELSR-H,ELSR-H-20,230.0,"Zone1, Zone2",IIC,T4,-0.00030,-0.15,20.0,150.0,150.0,-40.0,210.0,260.0,20.00,0.00,0.00
Eltherm^ELSR-H+^ELSR-H+45,Eltherm,Self Regulating,ELSR-H+,ELSR-H+45,230.0,"Zone1, Zone2",IIC,T3,-0.00030,-0.16,45.0,150.0,150.0,-40.0,210.0,260.0,45.00,0.00,0.00
Eltherm^ELSR-H+^ELSR-H+60,Eltherm,Self Regulating,ELSR-H+,ELSR-H+60,230.0,"Zone1, Zone2",IIC,T3,-0.00030,-0.16,60.0,150.0,150.0,-40.0,210.0,260.0,60.00,0.00,0.00
Eltherm^ELSR-H+^ELSR-H+75,Eltherm,Self Regulating,ELSR-H+,ELSR-H+75,230.0,"Zone1, Zone2",IIC,T2,-0.00030,-0.16,75.0,150.0,150.0,-40.0,210.0,260.0,75.00,0.00,0.00
Eltherm^ELSR-SH^ELSR-SH-35,Eltherm,Self Regulating,ELSR-SH,ELSR-SH-35,230.0,"Zone1, Zone2",IIC,T3,-0.00030,-0.17,35.0,150.0,150.0,-40.0,210.0,260.0,35.00,0.00,0.00
Eltherm^ELSR-SH^ELSR-SH-45,Eltherm,Self Regulating,ELSR-SH,ELSR-SH-45,230.0,"Zone1, Zone2",IIC,T3,-0.00030,-0.17,45.0,150.0,150.0,-40.0,210.0,260.0,45.00,0.00,0.00
Eltherm^ELSR-SH^ELSR-SH-75,Eltherm,Self Regulating,ELSR-SH,ELSR-SH-75,230.0,"Zone1, Zone2",IIC,T2,-0.00030,-0.17,75.0,150.0,150.0,-40.0,210.0,260.0,75.00,0.00,0.00
Eltherm^ELSR-SH^ELSR-SH-90,Eltherm,Self Regulating,ELSR-SH,ELSR-SH-90,230.0,"Zone1, Zone2",IIC,T2,-0.00030,-0.17,90.0,150.0,150.0,-40.0,210.0,260.0,90.00,0.00,0.00
Heat Trace^Freezstop^FSR-10-2,Heat Trace,Self Regulating,Freezstop Regular,HT-FSR10,230.0,"Zone1, Zone2",IIB,"T1,T2,T3",0,-0.1365,10.3,85.0,85.0,-40.0,140.0,200.0,10.00,0.00,0.00
Heat Trace^Freezstop^FSR-17-2,Heat Trace,Self Regulating,Freezstop Regular,HT-FSR17,230.0,"Zone1, Zone2",IIB,"T1,T2,T3",0,-0.1548,17.76,85.0,85.0,-40.0,140.0,200.0,17.00,0.00,0.00
Heat Trace^Freezstop^FSR-25-2,Heat Trace,Self Regulating,Freezstop Regular,HT-FSR25,230.0,"Zone1, Zone2",IIB,"T1,T2,T3",0,-0.1920,26.87,85.0,85.0,-40.0,140.0,200.0,25.00,0.00,0.00
Heat Trace^Freezstop^FSR-31-2,Heat Trace,Self Regulating,Freezstop Regular,HT-FSR31,230.0,"Zone1, Zone2",IIB,"T1,T2,T3",0,-0.2193,34.21,85.0,85.0,-40.0,140.0,200.0,31.00,0.00,0.00
Heat Trace^Freezstop^FSR-40-2,Heat Trace,Self Regulating,Freezstop Regular,HT-FSR40,230.0,"Zone1, Zone2",IIB,"T1,T2,T3",0,-0.2745,44.21,85.0,85.0,-40.0,140.0,200.0,40.00,0.00,0.00
