V_UID,Vendor,Tracer_Family,Tracer_Model,Tracer_Cat_No,Voltage,Zone,Gas_Group,T_Rating,A_Coeff,B_Coeff,C_Coeff,Maint_T,Max_Op_T,Min_Installation_T,Max_Exp_T_On,Max_Exp_T_Off,Power_at_Startup_T,Ohm_per_km,Res_corrFactor_Mica
Thermon^HTSX^HTSX-20-2,Thermon,Self Regulating,HTSX,HTSX 20-2,240.0,"Zone1, Zone2",NA,"T1,T2",0,0,0,150.0,150.0,-60.0,250.0,204.0,100.0,0.0,0.0
Eltherm^ELSR-H^ELSR-H-10,Eltherm,Self Regulating,ELSR-H,ELSR-H-10,230.0,"Zone1, Zone2",IIC,T4,0,0,0,150.0,150.0,-40.0,210.0,260.0,10.0,0.0,0.0
Eltherm^ELSR-H^ELSR-H-15,Eltherm,Self Regulating,ELSR-H,ELSR-H-15,230.0,"Zone1, Zone2",IIC,T4,0,0,0,150.0,150.0,-40.0,210.0,260.0,15.0,0.0,0.0
Eltherm^ELSR-H^ELSR-H-20,Eltherm,Self Regulating,ELSR-H,ELSR-H-20,230.0,"Zone1, Zone2",IIC,T4,0,0,0,150.0,150.0,-40.0,210.0,260.0,20.0,0.0,0.0
Eltherm^ELSR-H^ELSR-H-30,Eltherm,Self Regulating,ELSR-H,ELSR-H-30,230.0,"Zone1, Zone2",IIC,T3,0,0,0,150.0,150.0,-40.0,210.0,260.0,30.0,0.0,0.0
Eltherm^ELSR-H^ELSR-H-45,Eltherm,Self Regulating,ELSR-H,ELSR-H-45,230.0,"Zone1, Zone2",IIC,T3,0,0,0,150.0,150.0,-40.0,210.0,260.0,45.0,0.0,0.0
Eltherm^ELSR-H^ELSR-H-60,Eltherm,Self Regulating,ELSR-H,ELSR-H-60,230.0,"Zone1, Zone2",IIC,T3,0,0,0,150.0,150.0,-40.0,210.0,260.0,60.0,0.0,0.0
Eltherm^ELSR-H^ELSR-H-75,Eltherm,Self Regulating,ELSR-H,ELSR-H-75,230.0,"Zone1, Zone2",IIC,T2,0,0,0,150.0,150.0,-40.0,210.0,260.0,75.0,0.0,0.0
Eltherm^ELSR-H+^ELSR-H+15,Eltherm,Self Regulating,ELSR-H+,ELSR-H+15,230.0,"Zone1, Zone2",IIC,T5,0,0,0,150.0,150.0,-40.0,210.0,260.0,15.0,0.0,0.0
Eltherm^ELSR-H+^ELSR-H+30,Eltherm,Self Regulating,ELSR-H+,ELSR-H+30,230.0,"Zone1, Zone2",IIC,T4,0,0,0,150.0,150.0,-40.0,210.0,260.0,30.0,0.0,0.0
Eltherm^ELSR-H+^ELSR-H+45,Eltherm,Self Regulating,ELSR-H+,ELSR-H+45,230.0,"Zone1, Zone2",IIC,T3,0,0,0,150.0,150.0,-40.0,210.0,260.0,45.0,0.0,0.0
Eltherm^ELSR-H+^ELSR-H+60,Eltherm,Self Regulating,ELSR-H+,ELSR-H+60,230.0,"Zone1, Zone2",IIC,T3,0,0,0,150.0,150.0,-40.0,210.0,260.0,60.0,0.0,0.0
Eltherm^ELSR-H+^ELSR-H+75,Eltherm,Self Regulating,ELSR-H+,ELSR-H+75,230.0,"Zone1, Zone2",IIC,T2,0,0,0,150.0,150.0,-40.0,210.0,260.0,75.0,0.0,0.0
Eltherm^ELSR-SH^ELSR-SH-15,Eltherm,Self Regulating,ELSR-SH,ELSR-SH-15,230.0,"Zone1, Zone2",IIC,T5,0,0,0,150.0,150.0,-40.0,210.0,260.0,15.0,0.0,0.0
Eltherm^ELSR-SH^ELSR-SH-35,Eltherm,Self Regulating,ELSR-SH,ELSR-SH-35,230.0,"Zone1, Zone2",IIC,T3,0,0,0,150.0,150.0,-40.0,210.0,260.0,35.0,0.0,0.0
Eltherm^ELSR-SH^ELSR-SH-45,Eltherm,Self Regulating,ELSR-SH,ELSR-SH-45,230.0,"Zone1, Zone2",IIC,T3,0,0,0,150.0,150.0,-40.0,210.0,260.0,45.0,0.0,0.0
Eltherm^ELSR-SH^ELSR-SH-75,Eltherm,Self Regulating,ELSR-SH,ELSR-SH-75,230.0,"Zone1, Zone2",IIC,T2,0,0,0,150.0,150.0,-40.0,210.0,260.0,75.0,0.0,0.0
