ID,V_UID,Vendor,Tracer_Family,Tracer_Model,Tracer_Cat_No,Voltage,Zone,Gas_Group,T_Rating,A_Coeff,B_Coeff,C_Coeff,Maint_T,Max_Op_T,Min_Installation_T,Max_Exp_T_On,Max_Exp_T_Off,Power_at_Startup_T,Ohm_per_km,Res_corrFactor_Mica
1,Thermon^VSX5-2,Thermon,Self Regulating,VSX,VSX 5-2,230,"Zone1, Zone2",IIB,"T1,T2,T3",0,-0.1,16.4,150,150,-60,232,250,25,0,0
2,Thermon^VSX10-2,Thermon,Self Regulating,VSX,VSX 10-2,230,"Zone1, Zone2",IIB,"T1,T2,T3",0,-0.1937,33.76,150,150,-60,232,250,50,0,0
3,Thermon^VSX15-2,Thermon,Self Regulating,VSX,VSX 15-2,230,"Zone1, Zone2",IIB,"T1,T2,T3",0,-0.2653,49.86,150,150,-60,232,250,75,0,0
4,Thermon^VSX20-2,Thermon,Self Regulating,VSX,VSX 20-2,230,"Zone1, Zone2",IIB,"T1,T2,T3",0.0003,-0.3911,69.474,150,150,-60,232,250,100,0,0
5,Thermon^HTSX 15-2,Thermon,Self Regulating,HTSX,HTSX 15-2,240,"Zone1, Zone2",NA,"T1,T2,T3",-0.00002,-0.2418,52.353,150,150,-60,204,250,75,0,0
6,Thermon^HTSX 12-2,Thermon,Self Regulating,HTSX,HTSX 12-2,240,"Zone1, Zone2",NA,"T1,T2,T3",0.000008,-0.2165,42.127,150,150,-60,204,250,60,0,0
7,Thermon^HTSX 9-2,Thermon,Self Regulating,HTSX,HTSX 9-2,240,"Zone1, Zone2",NA,"T1,T2,T3",0.000002,-0.1741,32.025,150,150,-60,204,250,45,0,0
8,Thermon^HTSX 6-2,Thermon,Self Regulating,HTSX,HTSX 6-2,240,"Zone1, Zone2",NA,"T1,T2,T3",-0.000004,-0.1244,21.678,150,150,-60,204,250,30,0,0
9,Thermon^HTSX 3-2,Thermon,Self Regulating,HTSX,HTSX 3-2,240,"Zone1, Zone2",NA,"T1,T2,T3",0.00002,-0.0661,10.724,150,150,-60,204,250,15,0,0
10,Chromalox^SRM/E20-2CT,Chromalox,Self Regulating,SRM,SRM/E20-2CT,240,"Zone1, Zone2","Class I Div.2, Gr. A, B, C, D","T1,T2",0,-0.2942,68.402,150,150,-50,215,215,100,0,0
11,Chromalox^SRM/E15-2CT,Chromalox,Self Regulating,SRM,SRM/E15-2CT,240,"Zone1, Zone2","Class I Div.2, Gr. A, B, C, D","T1,T2",0,-0.2736,51.875,150,150,-50,215,215,75,0,0
12,Chromalox^SRM/E10-2CT,Chromalox,Self Regulating,SRM,SRM/E10-2CT,240,"Zone1, Zone2","Class I Div.2, Gr. A, B, C, D","T1,T2",0,-0.1576,34.581,150,150,-50,215,215,50,0,0
13,Chromalox^SRM/E8-2CT,Chromalox,Self Regulating,SRM,SRM/E8-2CT,240,"Zone1, Zone2","Class I Div.2, Gr. A, B, C, D","T1,T2,T3",0,-0.1328,26.833,150,150,-50,215,215,40,0,0
14,Chromalox^SRM/E5-2CT,Chromalox,Self Regulating,SRM,SRM/E5-2CT,240,"Zone1, Zone2","Class I Div.2, Gr. A, B, C, D","T1,T2,T3",0,-0.0767,16.975,150,150,-50,215,215,25,0,0
15,Chromalox^SRM/E3-2CT,Chromalox,Self Regulating,SRM,SRM/E3-2CT,240,"Zone1, Zone2","Class I Div.2, Gr. A, B, C, D","T1,T2,T3",0,-0.0649,10.145,150,150,-50,215,215,15,0,0
16,Thermon^MIQ^MIQ-11E0l-2S,Thermon,Constant Wattage,MIQ,MIQ-11E0l-2S,300,"Zone1, Zone2",II 2 G Ex d IIC,"T1,T2,T3,T4,T5,T6",0,0,0,500,500,-60,600,600,0,36100,1.2
17,Thermon^MIQ^MIQ-90E1l-2S,Thermon,Constant Wattage,MIQ,MIQ-90E1l-2S,300,"Zone1, Zone2",II 2 G Ex d IIC,"T1,T2,T3,T4,T5,T6",0,0,0,500,500,-60,600,600,0,29500,1.2
18,Thermon^MIQ^MIQ-75E1l-2S,Thermon,Constant Wattage,MIQ,MIQ-75E1l-2S,300,"Zone1, Zone2",II 2 G Ex d IIC,"T1,T2,T3,T4,T5,T6",0,0,0,500,500,-60,600,600,0,24600,1.2
